,domestic earnings,international earnings,id,total earnings
22,739711,158281,tt7455754,897992
30,100780,178635,tt5495792,279415
89,849521,52128,tt2205904,901649
116,150886,386,tt1413496,151272
155,109107,4291,tt0988102,113398
423,7123919,1221379,tt5804038,8345298
492,14363397,3073112,tt1232207,17436509
523,707343,277864,tt0492931,985207
539,1678874,85430,tt0489037,1764304
544,4071700,782464,tt1016268,4854164
574,112952899,63151445,tt0240462,176104344
606,59531297,189800000,tt6450804,249331297
613,89760956,350842581,tt1340138,440603537
614,187112,1206940,tt1881002,1394052
618,39322544,175335033,tt2333784,214657577
620,10508518,7000000,tt1742334,17508518
622,25135965,112192336,tt1211956,137328301
623,12050299,36280458,tt1549920,48330757
624,85028192,229947763,tt1764651,314975955
625,103068524,171401870,tt1320253,274470394
627,24008137,48170758,tt0327437,72178895
629,47726342,32931579,tt0327850,80657921
630,150371112,283000000,tt0181852,433371112
632,40077257,38305176,tt0233469,78382433
633,34604280,61481197,tt0216216,96085477
635,66889043,145100000,tt0146675,211989043
636,107325195,130881927,tt0118688,238207122
637,60592389,69240000,tt0116705,129832389
638,101295562,141000000,tt0116213,242295562
640,36763355,71668000,tt0110216,108431355
641,146282411,232600000,tt0111503,378882411
643,50016394,87282095,tt0107362,137298489
651,204843345,312106698,tt0103064,516950043
653,91457688,110500000,tt0099938,201957688
654,119394840,141905000,tt0100802,261299840
656,111938388,104676000,tt0096320,216614388
659,59735548,38532010,tt0093773,98267558
662,35100000,22391000,tt0088944,57491000
664,38371200,40000000,tt0088247,78371200
666,39565475,29286000,tt0082198,68851475
681,739711,158281,tt7455754,897992
682,100780,178635,tt5495792,279415
687,187112,1206940,tt1881002,1394052
688,34604280,61481197,tt0216216,96085477
689,50016394,87282095,tt0107362,137298489
697,1445739,1553201,tt1144804,2998940
