,date,title,rating,genres,id
0,,The Original Action Hero,,"('documentary',)",tt4598020
1,,It's a Fabulous World,,"('documentary',)",tt6727522
2,2007-04-20,The Brotherhood,,"('documentary',)",tt1046268
3,2020-11-24,"Stallone: Frank, That Is",,"('documentary',)",tt6812404
4,1981-09-14,Entertainment Tonight,3.6,"('news',)",tt0081857
5,2013-09-09,Ok! TV,5.0,"('news', 'talk-show')",tt3503424
6,2018-07-03,IMDb on the Scene - Interviews,6.6,"('talk-show',)",tt8596744
7,2015-03-23,The Late Late Show with James Corden,6.3,"('comedy', 'talk-show')",tt4280606
8,2011-07-15,Dish Nation,4.2,"('news',)",tt1973047
9,1996-09-24,Access Hollywood,3.2,"('news',)",tt0167515
10,2003-01-26,Jimmy Kimmel Live!,6.7,"('comedy', 'music', 'talk-show')",tt0320037
11,2000-10-23,Big Putts,7.8,"('comedy',)",tt1098154
12,1975-01-06,Good Morning America,4.6,"('news', 'talk-show')",tt0072506
13,1988-10-03,This Morning,4.9,"('talk-show',)",tt0181261
14,2007-02-22,The Graham Norton Show,8.4,"('comedy', 'music', 'talk-show')",tt0924651
15,1994-09-05,Extra,3.5,"('news',)",tt0247094
16,2014-03-10,The Noite com Danilo Gentili,6.6,"('comedy', 'talk-show')",tt3612488
17,2009-01-18,State of the Union with John King,6.5,"('news',)",tt1362996
18,2015-10-07,Jay Leno's Garage,7.5,"('documentary',)",tt4944090
19,,Días de cine,6.3,"('news',)",tt0390699
20,2018-04-30,Story of Science Fiction,8.1,"('documentary',)",tt8344332
21,2018-04-10,Andre the Giant,7.8,"('documentary', 'biography', 'sport')",tt6543420
22,2018-01-19,The Game Changers,8.2,"('documentary',)",tt7455754
23,,T2: Reprogramming The Terminator,8.7,"('documentary',)",tt7710590
24,,Taff,2.6,"('news', 'talk-show')",tt0355143
25,2017-11-16,Bambi Medienpreis,,"('family',)",tt9909254
26,2017-11-14,Stars gegen Trump: Amerikas neuer Widerstand,,"('documentary',)",tt7639962
27,2016-11-18,Objectified,7.6,"('biography', 'talk-show')",tt7423218
28,2017-11-01,Conor McGregor: Notorious,7.2,"('documentary', 'biography', 'sport')",tt7518466
29,2017-11-24,Celebrity Binge Watch,,"('talk-show',)",tt9242512
30,2017-05-20,Wonders of the Sea 3D,6.4,"('documentary',)",tt5495792
31,2017-07-31,Arnold Schwarzenegger: Ein steirisches Idol,,"('documentary',)",tt7216800
32,2017-07-24,Arnold Schwarzenegger - Vom Steirerbub zum Superstar,,"('documentary',)",tt7217018
33,2014-04-28,Good Morning Britain,3.5,"('news', 'talk-show')",tt3644198
34,2017-05-12,Generation Iron 2,6.1,"('documentary',)",tt6263642
35,2017-03-30,Guardians of the Earth,6.8,"('documentary',)",tt7214084
36,,Sunrise,3.6,"('news', 'talk-show')",tt0428169
37,2004-01-08,The Apprentice,5.0,"('game-show', 'reality-tv')",tt0364782
38,2010-09-13,Access Hollywood Live,4.3,"('talk-show',)",tt1746642
39,2016-12-31,A Toast to 2016!,,"('news',)",tt8047520
40,2014-02-24,Late Night with Seth Meyers,6.1,"('comedy', 'talk-show')",tt3513388
41,1952-01-14,Today,4.8,"('news', 'talk-show')",tt0044298
42,1988-09-05,Live with Regis and Kathie Lee,4.6,"('talk-show',)",tt0096636
